image_index,object_count,total_area
0,89,22940
1,127,23950
2,138,29648
3,185,23076
4,177,26916
5,46,4937
6,143,24689
7,49,5078
8,73,9651
9,96,20747
10,147,28234
11,123,20688
12,101,29325
13,141,26765
14,124,23664
15,119,24335
16,128,33793
17,121,32124
18,118,28021
19,126,33800
20,115,18900
21,111,24840
22,112,28237
23,107,28998
24,192,28966
25,105,30132
26,121,29469
27,167,29727
28,139,24687
29,107,19257
30,164,28732
31,112,17827
32,135,27862
33,37,6163
34,96,28588
35,21,6952
36,120,28559
37,108,29764
38,129,25285
39,113,30048
40,102,11482
41,81,17239
42,69,11773
43,86,17192
44,109,20193
45,22,5746
46,94,28958
47,22,5451
48,119,31509
49,155,30006
50,125,29737
51,142,26349
52,232,34814
53,187,28888
54,182,26216
55,219,29923
56,119,33408
57,31,8977
58,113,35033
59,24,7310
60,127,21780
61,175,24534
62,196,25118
63,228,28577
64,94,24775
65,114,23508
66,117,20387
67,75,23495
68,53,10679
69,78,13150
70,82,11325
71,100,10422
72,58,5945
73,100,8874
74,114,29155
75,118,24887
76,126,31848
77,125,26842
78,123,34368
79,36,9918
80,120,32336
81,30,9282
82,68,7391
83,81,8745
84,66,6910
85,60,8190
86,112,32001
87,26,7291
88,129,28980
89,21,7780
90,43,3906
91,4,392
92,15,1985
93,5,521
94,109,13307
95,144,17698
96,91,11484
97,132,14282
98,43,7498
99,60,6181
100,76,7983
101,71,8518
102,74,7411
103,150,19683
104,106,13358
105,208,30331
106,153,23853
107,39,5959
108,157,30338
109,42,6981
110,136,31604
111,159,22238
112,185,23968
113,183,21787
114,151,27150
115,36,5331
116,179,22915
117,43,4875
118,140,20722
119,121,28725
120,130,27167
121,129,30353
122,164,29606
123,148,24573
124,155,27085
125,138,27310
126,83,17318
127,74,14770
128,93,21432
129,61,10776
130,141,26875
131,185,24731
132,117,30381
133,146,26062
134,191,26869
135,135,30637
136,175,30065
137,152,21791
138,20,2175
139,33,4452
140,18,1135
141,20,1634
142,118,20476
143,85,15726
144,112,22033
145,128,22854
146,24,2899
147,24,2050
148,89,12370
149,60,7830
150,35,2637
151,66,8707
152,64,8460
153,62,7859
154,47,3173
155,36,3926
156,46,4154
157,60,7437
158,41,2486
159,72,11185
160,73,16389
161,91,21447
162,94,12562
163,74,8349
164,105,15601
165,25,3013
166,50,3694
167,51,5610
168,60,5615
169,60,5242
170,79,15821
171,103,16156
172,60,6578
173,88,20029
174,38,2811
175,46,3708
176,58,5978
177,49,7658
178,52,8155
179,21,5420
180,17,3921
181,37,3682
182,181,12898
183,174,11824
184,141,9492
185,161,11934
186,212,15293
187,267,18892
188,149,10596
189,240,18190
190,145,10741
191,158,11989
192,135,12200
193,128,12641
194,174,17762
195,159,15958
196,140,13644
197,172,18181
198,97,17704
199,129,24342
200,95,20022
201,127,23257
202,110,23039
203,125,24391
204,118,25939
205,138,25784
206,86,22479
207,84,22753
208,85,26297
209,77,13732
210,38,33402
211,51,25412
212,47,15310
213,32,18407
214,41,15869
215,77,17714
216,58,13595
217,61,9619
218,81,17249
219,53,20853
220,106,11018
221,41,15210
222,82,15858
223,83,12110
224,92,12586
225,100,16050
226,89,21287
227,99,27437
228,85,26350
229,95,26513
230,52,24196
231,78,27373
232,51,24573
233,38,23250
234,153,23146
235,140,25002
236,128,21224
237,123,15307
238,135,21152
239,121,16988
240,88,14442
241,115,16856
242,122,20462
243,126,19698
244,87,11339
245,124,21099
246,32,7513
247,25,5091
248,43,8778
249,16,3447
250,16,3896
251,52,17405
252,22,7533
253,60,20643
254,48,16874
255,31,11012
256,22,11137
257,18,5523
258,29,5591
259,41,11237
260,24,9101
261,37,5845
262,27,5540
263,26,5298
264,11,2477
265,9,2510
266,22,4523
267,2,172
268,43,9449
269,20,4314
270,37,4276
271,80,11480
272,25,2843
273,82,15406
274,14,3251
275,24,8807
276,6,1427
277,10,3275
278,43,13440
279,55,19262
280,56,15432
281,68,19172
282,10,965
283,85,14635
284,64,9728
285,41,7887
286,36,4894
287,51,13047
288,22,4913
289,37,6462
290,17,1936
291,54,10148
292,19,3014
293,15,2480
294,21,3214
295,16,2365
296,19,2643
297,17,5165
298,14,3868
299,23,6152
300,20,4849
301,11,1652
302,34,8790
303,21,2511
304,47,11937
305,57,16967
306,43,15216
307,60,18188
308,3,349
309,29,4692
310,54,12478
311,48,10348
312,50,10272
313,5,518
314,38,11944
315,15,3584
316,46,13081
317,21,8167
318,36,12755
319,56,22697
320,26,9118
321,30,6715
322,21,5323
323,31,6618
324,24,5938
325,39,12111
326,29,8061
327,54,13056
328,19,6831
329,30,13075
330,18,7470
331,42,16710
332,48,15273
333,52,12413
334,59,15924
335,72,23040
336,52,15063
337,17,1385
338,93,16912
339,66,10311
340,62,13464
341,19,4963
342,10,1102
343,29,8747
344,15,2606
345,21,4315
346,11,3867
347,8,2320
348,13,4806
349,7,2320
350,9,2611
351,10,3117
352,13,2653
353,23,5501
354,16,4053
355,12,2180
356,10,3296
357,110,16928
358,32,5642
359,72,21196
360,44,6175
361,32,11123
362,11,5785
363,57,19419
364,18,7948
365,80,21456
366,52,15803
367,69,17283
368,66,20271
369,55,12872
370,22,3564
371,10,2184
372,12,1052
373,22,7151
374,23,8980
375,33,11720
376,17,3003
377,28,9326
378,12,3405
379,16,5008
380,16,2348
381,18,2783
382,22,2894
383,27,3707
384,33,3236
385,32,8426
386,20,7640
387,25,7816
388,30,9489
389,17,4707
390,29,6236
391,34,10393
392,40,6507
393,18,5830
394,18,6409
395,35,12024
396,24,6514
397,18,2696
398,46,11746
399,27,5898
400,82,21001
401,29,8886
402,24,5402
403,13,2938
404,11,1951
405,45,14985
406,65,20821
407,30,9189
408,40,12613
409,60,17097
410,34,11993
411,62,21995
412,78,22495
413,57,12177
414,67,17657
415,72,10499
416,76,21599
417,169,34188
418,132,30989
419,195,40851
420,187,38090
421,37,4443
422,58,10115
423,38,4132
424,38,3817
425,147,28859
426,163,33785
427,135,27150
428,170,37752
429,92,24776
430,87,26051
431,54,6955
432,56,17874
433,152,27039
434,117,27251
435,78,8682
436,85,13134
437,145,25628
438,106,15813
439,106,18105
440,102,15064
441,38,9184
442,22,1904
443,49,4737
444,23,1819
445,83,9320
446,87,12187
447,92,20722
448,92,16030
449,135,15926
450,155,19017
451,124,15345
452,148,17984
453,63,10743
454,149,16160
455,122,13615
456,129,12441
457,101,17131
458,8,1616
459,66,6576
460,81,15822
461,140,26255
462,109,20635
463,115,24304
464,119,27941
465,120,26634
466,149,30839
467,152,30781
468,74,9459
469,94,13177
470,117,15715
471,101,15379
472,81,15361
473,102,18105
474,77,14613
475,82,13822
476,62,14243
477,49,11649
478,57,8853
479,43,10207
480,86,21250
481,65,16438
482,47,8605
483,48,15037
484,46,15798
485,66,17971
486,27,14416
487,27,8870
488,108,28147
489,40,10058
490,114,25474
491,35,9821
492,68,7810
493,103,13626
494,34,2933
495,105,13911
496,34,6793
497,44,10269
498,57,12189
499,75,21479
500,56,5395
501,0,0
502,128,22021
503,87,18562
504,64,19813
505,9,3221
506,15,3517
507,5,454
508,146,11903
509,18,1541
510,133,11241
511,62,4224
512,60,24899
513,88,23673
514,45,20636
515,55,21407
516,101,11296
517,93,20720
518,64,15707
519,67,22507
520,32,8800
521,130,29926
522,10,2155
523,85,23208
524,66,12345
525,67,14636
526,61,13960
527,45,7332
528,128,19112
529,107,14366
530,120,18334
531,89,24870
532,105,26824
533,96,25404
534,87,24244
535,3,477
536,28,7126
