image_index,object_count,total_area
0,295,58947
1,247,50430
2,245,54042
3,207,41047
4,195,36769
5,49,7430
6,161,32633
7,48,7559
8,79,13335
9,117,26712
10,188,36942
11,155,27769
12,117,37119
13,169,34418
14,138,31557
15,145,32167
16,156,43621
17,148,42559
18,141,34442
19,135,41356
20,144,27261
21,138,34040
22,153,38887
23,124,36995
24,211,38294
25,146,39697
26,148,37052
27,184,38609
28,146,31026
29,125,25225
30,213,36968
31,129,24074
32,150,36303
33,38,8033
34,107,35109
35,28,9011
36,151,38608
37,148,39008
38,162,35785
39,134,37353
40,110,16185
41,95,21897
42,76,15473
43,96,22693
44,127,27010
45,31,7540
46,118,37356
47,34,7321
48,149,42873
49,180,39386
50,152,40182
51,155,34249
52,274,49823
53,212,36809
54,219,39804
55,245,39537
56,144,43589
57,41,11342
58,136,44136
59,42,10865
60,135,28905
61,194,32837
62,207,34855
63,244,38872
64,116,32691
65,132,31339
66,142,27760
67,101,28911
68,69,14126
69,99,19392
70,82,14613
71,89,11725
72,58,6975
73,93,11048
74,142,38875
75,149,33896
76,151,41004
77,149,36520
78,142,44169
79,44,11998
80,149,40375
81,45,11349
82,63,10735
83,77,13475
84,57,9568
85,63,12767
86,140,40770
87,36,8807
88,148,37233
89,31,8796
90,42,9657
91,6,1128
92,15,4171
93,4,730
94,120,22578
95,136,28360
96,105,19586
97,144,24983
98,45,10091
99,64,8974
100,74,11190
101,81,12075
102,75,14259
103,167,31819
104,115,21909
105,243,43146
106,171,32399
107,47,8348
108,180,39075
109,50,9851
110,179,43385
111,182,31353
112,199,32367
113,205,31363
114,170,36686
115,49,8059
116,195,32250
117,43,7263
118,157,30451
119,137,38546
120,145,36248
121,155,40026
122,197,43190
123,158,35070
124,188,39004
125,174,41265
126,104,23608
127,75,18128
128,98,26843
129,64,13568
130,161,34815
131,194,34776
132,139,38548
133,162,34047
134,222,37716
135,145,39767
136,191,40422
137,160,29632
138,22,3665
139,33,6051
140,12,1679
141,19,3004
142,127,27547
143,103,20698
144,137,28908
145,146,29582
146,25,3850
